customer_id,close_month,reason_code
11464,2024-12,Switched provider
7662,2023-10,Poor service
9385,2024-02,Switched provider
7203,2024-03,Fees too high
3458,2023-04,Poor service
1584,2024-02,Switched provider
7391,2024-04,Fees too high
1346,2022-07,Poor service
7176,2024-12,Unknown
4227,2024-07,Poor service
3884,2023-09,Switched provider
1119,2024-09,Moved abroad
3430,2023-03,Switched provider
3691,2023-01,Poor service
1627,2022-07,Unknown
1318,2022-09,Poor service
10063,2024-07,Fees too high
9217,2024-09,Poor service
7962,2024-02,Unknown
11113,2024-06,Poor service
13467,2024-10,Poor service
2723,2024-11,Fees too high
14976,2025-01,Switched provider
1028,2023-12,Fees too high
15430,2025-01,Switched provider
9772,2024-05,Switched provider
6398,2023-08,Switched provider
8329,2024-04,Fees too high
6640,2023-08,Unknown
2486,2023-03,Fees too high
10129,2024-10,Poor service
6134,2023-10,Fees too high
8388,2024-04,Unknown
6947,2024-11,Poor service
6762,2024-09,Unhappy with perks
3113,2024-02,Fees too high
4298,2023-02,Switched provider
15431,2025-01,Fees too high
6203,2023-10,Switched provider
14271,2024-11,Fees too high
3914,2023-07,Fees too high
4652,2024-10,Fees too high
7013,2024-03,Unknown
3938,2023-12,Poor service
3996,2023-05,Poor service
2925,2023-04,Fees too high
6063,2024-10,Poor service
13835,2024-11,Poor service
2154,2024-09,Unknown
11,2022-09,Switched provider
4460,2024-06,Switched provider
9773,2024-10,Switched provider
1183,2024-06,Fees too high
6364,2024-04,Fees too high
7756,2024-05,Fees too high
9476,2024-11,Unhappy with perks
9833,2024-04,Switched provider
4664,2023-07,Switched provider
9287,2024-06,Fees too high
5426,2024-04,Fees too high
8724,2024-05,Bereavement
3073,2023-03,Unknown
3890,2024-07,Switched provider
3639,2023-01,Poor service
3810,2023-02,Fees too high
8944,2024-08,Bereavement
2019,2023-09,Poor service
1326,2024-09,Moved abroad
7789,2024-06,Unknown
13942,2024-11,Bereavement
3035,2023-05,Fees too high
6544,2023-08,Fees too high
8062,2024-02,Unknown
4051,2023-06,Fees too high
1224,2023-06,Fees too high
3714,2023-09,Unhappy with perks
2813,2023-09,Switched provider
237,2022-06,Poor service
1059,2022-05,Unknown
5253,2023-12,Fees too high
12429,2024-10,Fees too high
1580,2024-05,Bereavement
12232,2024-07,Fees too high
3776,2024-06,Unhappy with perks
6498,2024-07,Moved abroad
2725,2024-01,Bereavement
8588,2024-01,Unknown
6324,2024-02,Unknown
4801,2023-11,Fees too high
4771,2023-10,Unknown
9313,2024-04,Unknown
3902,2023-05,Fees too high
6907,2024-03,Fees too high
8019,2023-12,Switched provider
939,2023-04,Fees too high
3760,2023-09,Switched provider
3349,2024-07,Fees too high
7276,2024-01,Fees too high
3387,2023-09,Poor service
10105,2024-06,Fees too high
1049,2023-05,Fees too high
8387,2024-01,Poor service
1169,2024-08,Unknown
3335,2023-11,Switched provider
14352,2024-12,Poor service
265,2023-01,Switched provider
5581,2025-01,Switched provider
6015,2024-09,Fees too high
8531,2024-03,Fees too high
3046,2024-06,Unhappy with perks
4055,2023-02,Fees too high
10400,2025-01,Fees too high
9378,2024-03,Fees too high
6040,2024-12,Unknown
1358,2023-12,Poor service
3563,2022-12,Fees too high
5140,2023-04,Fees too high
5026,2023-05,Fees too high
5168,2024-11,Bereavement
14736,2025-01,Poor service
10324,2024-10,Moved abroad
6377,2024-02,Unknown
11695,2024-08,Poor service
118,2022-07,Switched provider
7810,2023-12,Poor service
1086,2024-06,Bereavement
1450,2023-03,Fees too high
4394,2024-12,Poor service
1342,2022-06,Fees too high
9540,2025-01,Fees too high
9224,2025-01,Fees too high
5130,2023-11,Fees too high
3949,2023-05,Fees too high
1974,2022-10,Moved abroad
10748,2024-07,Poor service
805,2023-03,Poor service
74,2024-02,Fees too high
8586,2023-12,Unknown
5940,2023-10,Unknown
7208,2023-12,Switched provider
6690,2023-08,Unknown
10086,2024-07,Switched provider
8927,2024-06,Switched provider
7040,2023-12,Fees too high
485,2022-06,Bereavement
8157,2023-11,Fees too high
3388,2023-01,Unhappy with perks
845,2022-08,Unknown
1717,2023-05,Switched provider
10646,2025-01,Fees too high
1528,2023-04,Poor service
3745,2024-03,Fees too high
12776,2024-10,Fees too high
773,2022-04,Fees too high
3779,2023-07,Unknown
1270,2023-02,Fees too high
677,2022-08,Fees too high
4554,2023-12,Switched provider
10216,2024-04,Fees too high
926,2022-07,Fees too high
14254,2024-12,Fees too high
221,2022-04,Poor service
2120,2023-09,Unknown
10709,2024-06,Poor service
7266,2024-03,Fees too high
3141,2023-04,Switched provider
11548,2024-12,Poor service
4153,2024-03,Unknown
6080,2024-10,Switched provider
8365,2024-01,Unknown
5842,2023-08,Unknown
3664,2024-05,Switched provider
1847,2022-10,Poor service
731,2022-11,Poor service
1669,2022-07,Poor service
2288,2023-12,Unknown
1042,2024-10,Bereavement
12553,2024-09,Bereavement
4445,2024-09,Switched provider
1735,2023-02,Poor service
8427,2024-06,Fees too high
2259,2022-10,Poor service
7047,2023-12,Poor service
15028,2025-01,Fees too high
8876,2024-04,Unknown
942,2022-11,Poor service
1648,2024-03,Unhappy with perks
13125,2024-10,Fees too high
5966,2023-10,Unknown
4513,2023-08,Unhappy with perks
705,2022-06,Unhappy with perks
3518,2024-07,Unhappy with perks
8840,2024-11,Fees too high
1128,2022-05,Poor service
5311,2023-06,Unknown
7992,2024-09,Poor service
1609,2024-04,Fees too high
7741,2024-02,Switched provider
2395,2022-09,Poor service
8615,2024-11,Switched provider
3354,2024-03,Bereavement
8999,2024-02,Unknown
7550,2024-06,Switched provider
1025,2023-09,Fees too high
12668,2024-08,Unknown
12387,2024-09,Poor service
7578,2024-06,Unknown
3706,2023-02,Unknown
186,2022-03,Fees too high
10668,2024-07,Fees too high
13582,2024-12,Unknown
1659,2022-12,Poor service
1796,2023-10,Switched provider
5579,2023-09,Switched provider
1396,2022-12,Poor service
10305,2024-05,Fees too high
5873,2023-12,Unhappy with perks
3589,2023-08,Poor service
10946,2024-09,Unknown
1843,2024-04,Switched provider
3177,2023-02,Poor service
495,2023-08,Switched provider
8268,2024-05,Switched provider
4070,2023-03,Fees too high
1761,2023-03,Unknown
1862,2022-08,Unknown
3627,2024-05,Unknown
5798,2024-04,Fees too high
7796,2025-01,Unknown
14882,2024-12,Unknown
5639,2023-11,Unknown
5689,2023-11,Unhappy with perks
9328,2024-02,Moved abroad
6440,2024-11,Unhappy with perks
1561,2023-03,Poor service
1813,2023-11,Unknown
5356,2024-01,Fees too high
12080,2025-01,Poor service
4042,2023-08,Moved abroad
10498,2024-10,Fees too high
9278,2024-02,Fees too high
894,2022-05,Unknown
687,2023-05,Switched provider
4092,2023-04,Poor service
7001,2024-02,Moved abroad
3875,2024-10,Bereavement
813,2023-03,Poor service
1029,2022-10,Moved abroad
465,2023-09,Switched provider
8715,2024-05,Fees too high
1105,2024-08,Poor service
2518,2023-08,Fees too high
11479,2024-09,Unhappy with perks
2285,2022-10,Switched provider
2200,2023-08,Switched provider
3409,2023-02,Switched provider
9474,2024-05,Fees too high
3110,2022-11,Poor service
62,2022-10,Switched provider
6904,2023-09,Fees too high
7980,2024-01,Unknown
10829,2024-05,Fees too high
1389,2022-08,Fees too high
11637,2024-12,Switched provider
1848,2024-08,Unknown
7404,2024-04,Unknown
1284,2022-11,Fees too high
468,2022-11,Unknown
6844,2023-11,Fees too high
1748,2023-02,Fees too high
2597,2023-04,Switched provider
6289,2023-08,Switched provider
3250,2023-08,Fees too high
1706,2022-10,Unknown
1325,2022-08,Unhappy with perks
6090,2024-06,Fees too high
3002,2024-01,Fees too high
5515,2023-10,Fees too high
6044,2023-11,Poor service
1577,2022-12,Switched provider
3715,2024-12,Unhappy with perks
8530,2024-04,Poor service
2419,2025-01,Unknown
2975,2022-11,Fees too high
13443,2024-11,Switched provider
4906,2023-11,Unhappy with perks
8220,2024-02,Fees too high
12513,2024-11,Switched provider
2173,2024-07,Moved abroad
2623,2023-05,Fees too high
9648,2024-03,Bereavement
9256,2024-06,Poor service
300,2023-03,Poor service
1412,2022-08,Unknown
341,2022-09,Fees too high
3758,2023-03,Switched provider
9390,2024-02,Switched provider
1660,2025-01,Bereavement
285,2022-09,Unknown
1465,2022-06,Unknown
2104,2022-11,Switched provider
8493,2024-08,Switched provider
4827,2024-11,Unknown
314,2024-04,Poor service
6255,2024-12,Unhappy with perks
8460,2024-04,Switched provider
2292,2024-07,Fees too high
13045,2024-10,Moved abroad
176,2022-07,Poor service
3461,2022-12,Switched provider
7675,2023-10,Moved abroad
3422,2023-01,Fees too high
2833,2022-11,Fees too high
12965,2024-09,Unhappy with perks
5504,2024-01,Unknown
9252,2024-02,Switched provider
11417,2025-01,Unknown
2268,2023-04,Poor service
7222,2023-12,Poor service
6461,2024-05,Fees too high
2505,2024-06,Poor service
6624,2023-09,Switched provider
1801,2022-08,Fees too high
14917,2024-12,Unhappy with perks
2907,2024-02,Poor service
15075,2024-12,Unknown
3697,2023-01,Bereavement
4149,2023-06,Switched provider
3601,2023-09,Poor service
5374,2024-04,Unknown
7090,2024-08,Poor service
2700,2022-12,Fees too high
2001,2024-07,Poor service
14047,2024-11,Poor service
13765,2024-10,Unknown
6626,2024-02,Unhappy with perks
3125,2023-05,Switched provider
1613,2023-05,Unknown
12330,2024-08,Fees too high
8855,2024-12,Unhappy with perks
11733,2024-10,Fees too high
6005,2024-05,Unknown
1328,2022-10,Fees too high
6520,2024-10,Unknown
10582,2024-04,Switched provider
2372,2023-07,Switched provider
455,2024-06,Switched provider
5139,2024-07,Bereavement
10684,2025-01,Bereavement
503,2022-04,Fees too high
3969,2023-07,Moved abroad
9372,2024-09,Unhappy with perks
5863,2024-02,Fees too high
8488,2024-05,Unknown
1098,2024-09,Switched provider
1433,2024-12,Poor service
5470,2023-05,Fees too high
5641,2023-07,Poor service
1242,2024-02,Fees too high
1856,2023-08,Fees too high
6237,2024-05,Poor service
889,2023-01,Fees too high
5745,2024-01,Switched provider
4164,2023-05,Unknown
1728,2024-07,Poor service
5059,2023-05,Fees too high
6088,2024-10,Unknown
2861,2023-06,Fees too high
14141,2025-01,Unknown
3041,2023-07,Switched provider
4138,2023-03,Unknown
1277,2022-09,Fees too high
1271,2023-02,Switched provider
11293,2024-09,Poor service
11308,2024-07,Poor service
3069,2023-03,Switched provider
12582,2024-11,Unhappy with perks
6027,2024-12,Fees too high
7638,2023-12,Unhappy with perks
7417,2024-10,Poor service
5667,2024-07,Fees too high
10139,2024-03,Fees too high
9828,2024-05,Switched provider
9085,2024-03,Switched provider
9658,2024-02,Poor service
6825,2023-10,Poor service
6895,2024-01,Fees too high
7868,2024-10,Poor service
2112,2024-01,Poor service
6022,2023-06,Unhappy with perks
10120,2024-05,Poor service
3638,2023-02,Fees too high
995,2022-11,Poor service
11053,2024-05,Poor service
5265,2024-04,Unknown
916,2022-05,Unknown
1131,2022-05,Fees too high
14936,2025-01,Moved abroad
11541,2024-09,Fees too high
7360,2024-06,Unknown
4950,2023-10,Fees too high
2729,2024-11,Fees too high
891,2022-07,Fees too high
15224,2025-01,Poor service
4222,2024-07,Fees too high
1928,2023-08,Switched provider
11046,2024-08,Unknown
6343,2024-07,Unknown
1476,2023-12,Unknown
9894,2024-03,Poor service
10341,2024-04,Fees too high
4213,2024-07,Poor service
6767,2024-02,Switched provider
4104,2024-12,Unhappy with perks
5122,2023-05,Poor service
5917,2025-01,Poor service
147,2024-11,Fees too high
7214,2023-12,Fees too high
1108,2024-01,Bereavement
2389,2023-03,Fees too high
1755,2022-11,Poor service
2517,2024-02,Unhappy with perks
13785,2024-12,Poor service
7910,2023-12,Switched provider
5272,2024-07,Fees too high
3768,2024-02,Fees too high
2458,2024-03,Unknown
937,2023-07,Moved abroad
4386,2023-04,Switched provider
9282,2024-05,Fees too high
10563,2024-09,Fees too high
9641,2024-05,Poor service
5719,2023-08,Fees too high
7933,2024-05,Fees too high
7832,2023-11,Switched provider
4141,2023-11,Switched provider
352,2022-05,Bereavement
5994,2024-11,Fees too high
7016,2023-10,Switched provider
474,2023-02,Unknown
9572,2024-05,Switched provider
8074,2024-03,Unknown
11540,2024-08,Switched provider
10986,2024-05,Fees too high
7162,2024-03,Fees too high
322,2024-06,Moved abroad
7934,2024-10,Unhappy with perks
6850,2023-08,Fees too high
4373,2024-08,Bereavement
4710,2024-01,Unknown
4188,2023-09,Fees too high
6457,2024-01,Poor service
4535,2023-03,Unknown
5217,2023-11,Poor service
349,2024-08,Moved abroad
14276,2024-12,Fees too high
3541,2023-06,Fees too high
6900,2024-02,Unhappy with perks
1261,2022-06,Fees too high
10408,2024-11,Fees too high
636,2024-06,Unknown
3749,2024-02,Poor service
3377,2023-08,Switched provider
11189,2024-06,Unknown
11959,2024-07,Switched provider
4235,2023-09,Switched provider
6728,2023-08,Fees too high
3185,2023-11,Fees too high
7514,2024-12,Poor service
7458,2024-04,Unknown
8239,2023-12,Fees too high
4181,2023-09,Fees too high
3304,2023-12,Switched provider
9068,2024-08,Poor service
8991,2024-05,Fees too high
12255,2024-10,Unhappy with perks
3976,2023-06,Unknown
9623,2024-03,Unknown
5077,2023-05,Fees too high
8689,2024-01,Unknown
4540,2023-09,Fees too high
22,2023-06,Switched provider
3845,2023-02,Fees too high
8884,2024-01,Fees too high
10504,2024-07,Fees too high
1979,2024-10,Fees too high
8401,2024-03,Switched provider
12328,2024-11,Poor service
4511,2023-05,Unknown
8020,2024-02,Poor service
1782,2022-12,Unknown
4419,2023-09,Fees too high
11194,2024-10,Poor service
10009,2024-12,Unknown
527,2023-02,Poor service
11835,2024-08,Fees too high
5620,2023-10,Unhappy with perks
3823,2023-01,Poor service
7854,2023-12,Fees too high
12428,2024-09,Switched provider
10555,2025-01,Fees too high
6580,2024-03,Unhappy with perks
1361,2022-07,Switched provider
8667,2024-01,Poor service
3221,2023-05,Bereavement
1467,2023-06,Switched provider
1411,2024-10,Fees too high
7321,2024-07,Fees too high
10304,2024-10,Switched provider
8680,2024-10,Switched provider
1830,2022-09,Fees too high
750,2024-08,Unknown
5384,2023-07,Poor service
6896,2024-11,Fees too high
7213,2024-04,Fees too high
2465,2023-06,Switched provider
6997,2023-10,Unknown
1665,2023-12,Unhappy with perks
7772,2023-11,Fees too high
469,2024-04,Fees too high
1619,2022-08,Fees too high
2194,2024-05,Bereavement
13704,2024-12,Switched provider
6246,2023-08,Bereavement
1440,2022-06,Moved abroad
10806,2024-06,Fees too high
591,2022-07,Fees too high
4041,2023-06,Fees too high
1895,2022-10,Fees too high
4529,2023-10,Fees too high
7899,2023-11,Fees too high
4295,2024-01,Fees too high
2909,2023-08,Poor service
3280,2023-02,Poor service
13342,2024-11,Poor service
8867,2025-01,Fees too high
13030,2024-09,Switched provider
3692,2024-05,Switched provider
6233,2023-07,Poor service
2535,2023-01,Moved abroad
2741,2022-11,Poor service
1836,2023-01,Unknown
15156,2025-01,Unknown
9147,2024-02,Switched provider
3294,2023-06,Fees too high
11722,2024-12,Fees too high
5624,2023-09,Poor service
897,2024-03,Fees too high
8738,2024-03,Unknown
4946,2024-04,Fees too high
9324,2024-03,Unknown
10661,2024-05,Poor service
12341,2024-09,Unknown
11423,2024-06,Moved abroad
483,2023-11,Fees too high
2926,2023-04,Switched provider
1865,2022-09,Switched provider
2803,2024-02,Poor service
6798,2024-11,Unknown
4955,2024-09,Poor service
329,2022-08,Switched provider
12802,2024-10,Poor service
582,2022-12,Unknown
11995,2024-07,Fees too high
1588,2023-01,Unhappy with perks
4428,2023-03,Moved abroad
1995,2023-02,Poor service
4096,2023-06,Switched provider
4477,2023-09,Unhappy with perks
7583,2024-02,Fees too high
4086,2024-06,Fees too high
2573,2023-02,Unknown
445,2022-08,Bereavement
4171,2023-12,Unhappy with perks
4436,2025-01,Fees too high
6396,2023-07,Unhappy with perks
2995,2024-04,Unknown
5404,2023-09,Fees too high
12151,2025-01,Poor service
5593,2024-11,Fees too high
14558,2024-12,Unknown
1388,2023-12,Fees too high
4248,2024-03,Bereavement
2370,2024-04,Unknown
3953,2023-10,Switched provider
202,2024-07,Unknown
10292,2024-09,Unhappy with perks
1062,2023-11,Switched provider
5543,2024-02,Moved abroad
11666,2024-08,Unknown
8911,2024-02,Unknown
14453,2024-12,Switched provider
5696,2023-08,Unknown
7597,2024-04,Bereavement
5884,2023-07,Fees too high
2812,2023-02,Fees too high
2884,2023-08,Poor service
3140,2023-11,Switched provider
6460,2024-06,Poor service
5817,2023-12,Fees too high
5540,2023-11,Poor service
5303,2023-07,Switched provider
9631,2024-04,Unknown
1978,2022-10,Poor service
6522,2024-10,Unhappy with perks
15457,2025-01,Switched provider
12247,2024-07,Fees too high
4027,2024-08,Moved abroad
453,2023-10,Unknown
6945,2024-05,Unknown
714,2023-12,Unhappy with perks
3411,2024-05,Unknown
14451,2024-11,Unknown
8807,2024-05,Switched provider
11386,2024-10,Moved abroad
10814,2024-06,Switched provider
4949,2023-09,Fees too high
2510,2024-04,Fees too high
2140,2023-11,Switched provider
8315,2024-09,Unknown
10300,2024-04,Unknown
2523,2023-04,Fees too high
13474,2024-11,Poor service
2754,2024-02,Switched provider
4114,2023-07,Fees too high
8958,2024-10,Poor service
134,2022-12,Fees too high
3251,2023-08,Switched provider
6848,2023-10,Fees too high
1118,2022-12,Unknown
4216,2024-03,Unknown
2955,2022-11,Unknown
1070,2022-07,Unknown
4271,2024-01,Bereavement
8849,2025-01,Unknown
15159,2025-01,Fees too high
5440,2024-10,Fees too high
1120,2022-07,Fees too high
3282,2024-07,Poor service
2802,2024-07,Fees too high
6716,2024-08,Fees too high
6973,2024-03,Fees too high
10960,2024-06,Unknown
8746,2024-09,Poor service
8917,2024-01,Poor service
10876,2024-11,Switched provider
13179,2025-01,Poor service
862,2023-04,Fees too high
1246,2024-12,Fees too high
11947,2025-01,Fees too high
6299,2024-08,Fees too high
8609,2024-05,Poor service
6434,2024-09,Fees too high
6633,2024-10,Fees too high
9323,2024-02,Fees too high
7245,2023-10,Unknown
11815,2025-01,Switched provider
1851,2023-04,Poor service
6320,2023-11,Unknown
688,2022-05,Bereavement
2974,2024-01,Fees too high
8527,2024-07,Switched provider
3728,2023-03,Unknown
3504,2022-12,Unhappy with perks
10396,2024-05,Poor service
11708,2024-10,Fees too high
6739,2024-07,Switched provider
1398,2022-12,Fees too high
680,2024-04,Poor service
7712,2023-11,Switched provider
4752,2023-08,Fees too high
6915,2024-08,Bereavement
13165,2025-01,Switched provider
11686,2024-11,Fees too high
7906,2024-11,Unknown
5534,2024-02,Unhappy with perks
8726,2024-07,Bereavement
9769,2024-03,Poor service
7557,2023-10,Switched provider
798,2022-04,Fees too high
5087,2024-05,Bereavement
9567,2024-10,Fees too high
720,2023-07,Poor service
9088,2024-08,Bereavement
10239,2024-04,Fees too high
7421,2024-04,Fees too high
9494,2024-05,Poor service
3981,2024-02,Switched provider
72,2022-03,Poor service
5886,2024-09,Fees too high
5011,2024-12,Poor service
14559,2024-12,Poor service
626,2023-03,Poor service
6183,2024-01,Fees too high
15106,2025-01,Unknown
10669,2024-11,Fees too high
3192,2024-08,Unhappy with perks
4523,2023-07,Poor service
5085,2023-10,Fees too high
5295,2023-09,Poor service
843,2023-02,Unknown
14086,2024-12,Switched provider
11814,2024-11,Unhappy with perks
3979,2023-05,Switched provider
9574,2024-03,Fees too high
5970,2023-10,Switched provider
9696,2024-09,Switched provider
11684,2024-12,Fees too high
6021,2023-06,Poor service
1236,2023-02,Unknown
716,2022-04,Poor service
556,2022-03,Unknown
5806,2023-06,Poor service
7856,2024-06,Fees too high
2303,2023-07,Unhappy with perks
3740,2023-11,Fees too high
5965,2023-12,Fees too high
2232,2022-11,Moved abroad
4518,2023-05,Unhappy with perks
11741,2024-11,Fees too high
9520,2024-03,Unhappy with perks
10150,2024-08,Moved abroad
3971,2023-02,Fees too high
885,2023-10,Fees too high
4454,2023-09,Fees too high
6225,2023-08,Fees too high
13940,2025-01,Unhappy with perks
5411,2024-03,Switched provider
3785,2024-04,Poor service
1535,2022-08,Fees too high
8912,2024-12,Unhappy with perks
2002,2024-11,Bereavement
6731,2023-12,Switched provider
1849,2022-11,Fees too high
13307,2024-09,Poor service
2985,2023-12,Unhappy with perks
2893,2023-07,Fees too high
8797,2024-04,Poor service
1658,2023-12,Fees too high
12289,2024-09,Fees too high
5821,2023-06,Unknown
2593,2024-04,Moved abroad
276,2023-03,Fees too high
8722,2024-11,Poor service
900,2023-02,Unknown
11992,2024-10,Moved abroad
10717,2024-11,Fees too high
29,2023-05,Fees too high
1200,2022-07,Fees too high
3822,2023-02,Unhappy with perks
4824,2023-06,Poor service
633,2022-10,Poor service
6946,2023-09,Poor service
3040,2023-01,Fees too high
13294,2024-10,Switched provider
11913,2024-08,Fees too high
8696,2024-02,Unknown
7284,2023-09,Fees too high
5344,2024-06,Switched provider
15147,2025-01,Fees too high
8914,2024-02,Fees too high
8214,2024-01,Poor service
2908,2024-01,Unknown
4944,2024-12,Fees too high
1308,2024-12,Unknown
4233,2023-08,Switched provider
4347,2024-04,Fees too high
14626,2025-01,Unknown
8400,2024-02,Unknown
10515,2024-05,Moved abroad
2702,2022-10,Unknown
4152,2023-10,Switched provider
8852,2024-09,Fees too high
7684,2024-08,Fees too high
1124,2023-07,Fees too high
5626,2023-11,Moved abroad
7205,2024-03,Switched provider
4185,2024-11,Switched provider
10993,2024-06,Fees too high
7405,2024-11,Switched provider
244,2022-11,Switched provider
13328,2024-09,Unknown
5471,2023-06,Poor service
3201,2023-05,Switched provider
581,2023-07,Unknown
7525,2024-09,Unknown
11667,2024-06,Fees too high
5529,2023-10,Unknown
2280,2024-04,Switched provider
3144,2024-08,Unhappy with perks
8685,2024-08,Unknown
6388,2024-04,Fees too high
6748,2024-02,Fees too high
5653,2023-08,Poor service
3284,2024-06,Poor service
5473,2024-06,Fees too high
6073,2023-07,Unknown
533,2023-04,Poor service
6775,2024-07,Fees too high
4881,2024-12,Switched provider
7009,2023-09,Fees too high
10626,2024-09,Moved abroad
6164,2023-08,Poor service
4895,2023-08,Switched provider
1929,2023-07,Fees too high
8128,2023-11,Poor service
1769,2022-12,Bereavement
7685,2024-09,Fees too high
10471,2024-06,Switched provider
6833,2024-08,Poor service
7894,2024-01,Unknown
10440,2024-08,Fees too high
4410,2024-09,Switched provider
8924,2024-01,Poor service
8261,2024-04,Fees too high
1902,2022-08,Fees too high
3590,2023-07,Switched provider
3067,2024-01,Unhappy with perks
5614,2023-06,Poor service
2681,2024-12,Unknown
8806,2024-12,Unhappy with perks
6914,2024-09,Switched provider
1560,2024-02,Fees too high
7246,2024-02,Switched provider
10395,2024-06,Poor service
973,2023-02,Unhappy with perks
14952,2025-01,Fees too high
814,2022-04,Fees too high
3047,2024-07,Moved abroad
1175,2022-09,Moved abroad
4797,2023-08,Fees too high
4462,2023-03,Poor service
3799,2024-01,Fees too high
4475,2023-03,Poor service
4763,2024-05,Unknown
6310,2024-11,Fees too high
7347,2024-07,Poor service
4065,2024-02,Bereavement
5334,2023-05,Fees too high
4135,2024-06,Bereavement
6955,2023-10,Unhappy with perks
1299,2022-06,Switched provider
520,2024-12,Switched provider
10283,2024-06,Unknown
3270,2023-03,Switched provider
7743,2023-12,Fees too high
4654,2024-07,Unhappy with perks
5098,2024-02,Unknown
8896,2024-03,Switched provider
9716,2024-04,Bereavement
10080,2024-03,Unknown
4031,2023-05,Moved abroad
13994,2024-12,Switched provider
5180,2023-10,Poor service
247,2022-09,Fees too high
2331,2023-04,Unhappy with perks
11701,2024-06,Switched provider
933,2023-10,Fees too high
13332,2024-10,Unhappy with perks
1878,2023-02,Fees too high
3326,2023-05,Moved abroad
6566,2024-02,Unknown
1208,2024-03,Unhappy with perks
6181,2023-11,Poor service
3536,2024-10,Poor service
2983,2024-02,Switched provider
10349,2024-09,Bereavement
1681,2024-01,Fees too high
14577,2024-12,Fees too high
8255,2024-03,Poor service
12538,2024-11,Unhappy with perks
2938,2023-10,Switched provider
8898,2024-04,Fees too high
5676,2024-10,Switched provider
9182,2024-08,Unhappy with perks
1751,2022-07,Switched provider
5395,2024-05,Unhappy with perks
5780,2023-10,Fees too high
7352,2024-09,Poor service
5848,2023-11,Unknown
578,2023-08,Unknown
7683,2023-10,Fees too high
1949,2023-10,Switched provider
1998,2022-08,Poor service
6039,2023-11,Poor service
10083,2024-03,Unhappy with perks
1458,2023-09,Fees too high
8687,2024-02,Unknown
431,2023-02,Poor service
6410,2023-07,Unknown
4021,2023-04,Poor service
10710,2024-06,Fees too high
266,2023-12,Poor service
1445,2023-07,Switched provider
9076,2024-03,Fees too high
10339,2024-04,Unhappy with perks
14351,2024-11,Switched provider
4307,2025-01,Poor service
2882,2022-11,Poor service
5899,2023-10,Unknown
2961,2022-11,Poor service
662,2023-01,Unknown
5859,2023-10,Switched provider
1130,2023-02,Unknown
2003,2023-04,Switched provider
3836,2023-03,Poor service
4541,2023-06,Fees too high
3189,2024-06,Switched provider
11704,2024-12,Switched provider
5674,2023-12,Unknown
4245,2025-01,Unhappy with perks
2923,2023-09,Fees too high
5460,2023-11,Switched provider
52,2022-05,Switched provider
10776,2024-08,Fees too high
10356,2024-05,Unhappy with perks
4531,2024-09,Bereavement
12561,2024-08,Switched provider
9017,2024-04,Switched provider
12807,2024-10,Fees too high
293,2022-12,Unknown
8719,2024-07,Fees too high
11891,2025-01,Unknown
