customer_id,promo,channel,region,age_band,tier_at_join,tenure,reason_code,promo_group
428,True,Comparison Site,London,55-64,Classic,7,Moved abroad,Joined on promo
431,False,Outbound,Midlands,18-24,Classic,12,Poor service,No promo
433,True,Comparison Site,North,35-44,Gold,15,Fees too high,Joined on promo
437,True,Outbound,London,25-34,Platinum,9,Fees too high,Joined on promo
441,False,Referral,South East,45-54,Platinum,21,Unknown,No promo
442,False,Branch,South East,35-44,Platinum,23,Poor service,No promo
445,True,Referral,Scotland,18-24,Classic,6,Bereavement,Joined on promo
446,True,Comparison Site,Midlands,35-44,Classic,14,Unknown,Joined on promo
453,True,Comparison Site,Scotland,55-64,Classic,20,Unknown,Joined on promo
455,True,Comparison Site,South East,25-34,Silver,28,Switched provider,Joined on promo
457,False,Branch,Scotland,18-24,Silver,19,Bereavement,No promo
459,True,Online,London,65+,Platinum,32,Switched provider,Joined on promo
461,True,Online,North,18-24,Silver,6,Fees too high,Joined on promo
463,True,Comparison Site,South East,35-44,Silver,14,Fees too high,Joined on promo
465,True,Outbound,London,55-64,Gold,19,Switched provider,Joined on promo
468,False,Outbound,Scotland,35-44,Classic,9,Unknown,No promo
469,True,Outbound,North,25-34,Classic,26,Fees too high,Joined on promo
473,False,Referral,Midlands,35-44,Silver,3,Poor service,No promo
474,False,Online,Midlands,25-34,Classic,12,Unknown,No promo
478,False,Online,London,35-44,Platinum,19,Switched provider,No promo
479,False,Outbound,South East,65+,Classic,2,Unknown,No promo
483,True,Online,Midlands,25-34,Silver,21,Fees too high,Joined on promo
485,False,Comparison Site,Midlands,35-44,Classic,4,Bereavement,No promo
489,False,Online,South East,18-24,Classic,19,Unknown,No promo
495,False,Comparison Site,London,35-44,Silver,18,Switched provider,No promo
496,False,Online,Wales & NI,25-34,Silver,14,Fees too high,No promo
498,True,Comparison Site,Scotland,35-44,Silver,1,Moved abroad,Joined on promo
501,False,Referral,Wales & NI,18-24,Silver,22,Poor service,No promo
503,True,Online,Scotland,55-64,Classic,2,Fees too high,Joined on promo
510,False,Online,London,18-24,Silver,2,Poor service,No promo
516,False,Comparison Site,North,25-34,Silver,30,Unknown,No promo
520,True,Online,London,65+,Classic,34,Switched provider,Joined on promo
521,True,Outbound,North,25-34,Classic,19,Fees too high,Joined on promo
525,False,Branch,Midlands,35-44,Platinum,27,Moved abroad,No promo
527,False,Comparison Site,South East,45-54,Classic,12,Poor service,No promo
528,True,Outbound,Wales & NI,65+,Classic,24,Unknown,Joined on promo
530,False,Online,London,35-44,Silver,31,Poor service,No promo
532,True,Referral,London,18-24,Gold,7,Fees too high,Joined on promo
533,False,Branch,South East,25-34,Classic,14,Poor service,No promo
541,True,Comparison Site,North,35-44,Classic,15,Switched provider,Joined on promo
546,False,Online,Wales & NI,35-44,Silver,30,Unhappy with perks,No promo
548,False,Branch,London,55-64,Gold,16,Unhappy with perks,No promo
549,True,Outbound,South East,55-64,Classic,4,Poor service,Joined on promo
551,False,Broker/IFA,Midlands,45-54,Classic,5,Poor service,No promo
554,True,Online,Midlands,35-44,Platinum,18,Poor service,Joined on promo
556,False,Outbound,Midlands,35-44,Classic,1,Unknown,No promo
562,True,Comparison Site,North,25-34,Silver,22,Switched provider,Joined on promo
564,False,Comparison Site,South East,25-34,Classic,5,Poor service,No promo
568,True,Online,Midlands,25-34,Classic,7,Fees too high,Joined on promo
569,True,Comparison Site,Wales & NI,65+,Silver,11,Poor service,Joined on promo
575,False,Online,Midlands,25-34,Classic,23,Fees too high,No promo
577,False,Comparison Site,London,65+,Classic,4,Fees too high,No promo
578,False,Outbound,London,65+,Gold,17,Unknown,No promo
580,True,Comparison Site,Wales & NI,35-44,Classic,2,Switched provider,Joined on promo
581,True,Outbound,South East,35-44,Classic,16,Unknown,Joined on promo
582,False,Branch,Midlands,25-34,Silver,9,Unknown,No promo
584,True,Broker/IFA,London,55-64,Gold,6,Poor service,Joined on promo
585,False,Broker/IFA,North,35-44,Classic,6,Unknown,No promo
588,True,Online,South East,25-34,Classic,3,Fees too high,Joined on promo
591,True,Branch,Midlands,35-44,Silver,4,Fees too high,Joined on promo
593,True,Comparison Site,London,45-54,Silver,12,Fees too high,Joined on promo
598,False,Comparison Site,South East,45-54,Silver,30,Poor service,No promo
599,False,Comparison Site,Midlands,45-54,Classic,19,Fees too high,No promo
605,True,Outbound,London,35-44,Silver,4,Unknown,Joined on promo
609,False,Online,Midlands,25-34,Classic,1,Unknown,No promo
618,True,Comparison Site,North,65+,Silver,2,Unknown,Joined on promo
623,True,Outbound,South East,25-34,Classic,1,Unknown,Joined on promo
625,False,Broker/IFA,North,35-44,Silver,16,Unhappy with perks,No promo
626,False,Comparison Site,North,18-24,Classic,12,Poor service,No promo
627,False,Outbound,North,18-24,Classic,7,Bereavement,No promo
632,False,Comparison Site,Midlands,55-64,Classic,12,Unknown,No promo
633,False,Branch,London,55-64,Classic,7,Poor service,No promo
636,False,Online,South East,25-34,Silver,27,Unknown,No promo
638,False,Outbound,Scotland,45-54,Silver,9,Poor service,No promo
639,False,Online,Wales & NI,25-34,Silver,26,Unhappy with perks,No promo
642,False,Comparison Site,Scotland,35-44,Silver,23,Unknown,No promo
645,True,Comparison Site,North,55-64,Silver,9,Fees too high,Joined on promo
646,True,Comparison Site,South East,25-34,Silver,6,Fees too high,Joined on promo
648,True,Outbound,North,18-24,Silver,26,Unknown,Joined on promo
649,False,Comparison Site,North,35-44,Silver,32,Fees too high,No promo
654,True,Online,London,45-54,Silver,3,Unknown,Joined on promo
656,False,Referral,North,65+,Silver,24,Poor service,No promo
658,False,Branch,South East,25-34,Platinum,3,Unhappy with perks,No promo
662,False,Online,London,35-44,Platinum,10,Unknown,No promo
663,True,Online,London,55-64,Gold,8,Fees too high,Joined on promo
666,False,Online,London,35-44,Gold,3,Unknown,No promo
670,False,Comparison Site,London,45-54,Classic,5,Moved abroad,No promo
671,False,Outbound,London,25-34,Silver,26,Bereavement,No promo
672,True,Outbound,Midlands,25-34,Silver,27,Unknown,Joined on promo
673,False,Online,South East,45-54,Silver,12,Fees too high,No promo
677,True,Online,South East,25-34,Silver,5,Fees too high,Joined on promo
680,False,Online,North,18-24,Gold,25,Poor service,No promo
681,False,Comparison Site,North,45-54,Silver,10,Poor service,No promo
685,False,Referral,North,45-54,Gold,1,Fees too high,No promo
686,False,Broker/IFA,South East,45-54,Silver,9,Switched provider,No promo
687,True,Comparison Site,South East,25-34,Silver,14,Switched provider,Joined on promo
688,False,Branch,North,55-64,Silver,2,Bereavement,No promo
689,False,Referral,North,55-64,Classic,2,Unknown,No promo
692,False,Referral,Scotland,45-54,Silver,32,Switched provider,No promo
696,True,Comparison Site,London,55-64,Silver,12,Fees too high,Joined on promo
697,False,Online,London,45-54,Silver,4,Fees too high,No promo
699,False,Branch,Midlands,18-24,Gold,1,Unhappy with perks,No promo
702,True,Comparison Site,Scotland,45-54,Silver,11,Unknown,Joined on promo
705,False,Outbound,North,25-34,Platinum,3,Unhappy with perks,No promo
708,False,Online,North,18-24,Silver,11,Poor service,No promo
711,False,Online,South East,25-34,Silver,22,Moved abroad,No promo
714,False,Branch,London,25-34,Gold,21,Unhappy with perks,No promo
715,False,Online,South East,35-44,Classic,5,Unknown,No promo
716,False,Outbound,South East,55-64,Classic,1,Poor service,No promo
718,False,Branch,South East,55-64,Silver,11,Moved abroad,No promo
719,True,Referral,South East,55-64,Gold,17,Unhappy with perks,Joined on promo
720,False,Referral,South East,25-34,Platinum,16,Poor service,No promo
721,False,Online,North,35-44,Gold,26,Poor service,No promo
723,False,Referral,London,45-54,Platinum,14,Switched provider,No promo
724,False,Referral,South East,55-64,Silver,31,Poor service,No promo
726,False,Referral,London,25-34,Classic,23,Poor service,No promo
727,False,Broker/IFA,North,25-34,Platinum,7,Poor service,No promo
731,False,Referral,London,65+,Gold,8,Poor service,No promo
736,True,Comparison Site,South East,18-24,Gold,4,Fees too high,Joined on promo
738,True,Comparison Site,South East,25-34,Classic,7,Fees too high,Joined on promo
739,True,Comparison Site,London,18-24,Silver,1,Fees too high,Joined on promo
740,False,Outbound,Midlands,45-54,Gold,18,Switched provider,No promo
747,True,Online,South East,55-64,Classic,32,Fees too high,Joined on promo
749,True,Online,Midlands,18-24,Silver,2,Unknown,Joined on promo
750,True,Branch,Scotland,25-34,Gold,29,Unknown,Joined on promo
752,True,Outbound,Midlands,35-44,Silver,25,Unknown,Joined on promo
753,False,Online,Wales & NI,25-34,Silver,26,Unknown,No promo
755,False,Comparison Site,North,18-24,Silver,15,Moved abroad,No promo
756,False,Comparison Site,London,18-24,Classic,3,Fees too high,No promo
760,False,Online,London,45-54,Classic,17,Poor service,No promo
762,False,Online,North,25-34,Gold,13,Unhappy with perks,No promo
765,False,Branch,Midlands,45-54,Classic,7,Switched provider,No promo
766,True,Online,South East,65+,Classic,17,Unknown,Joined on promo
773,False,Broker/IFA,Scotland,18-24,Silver,1,Fees too high,No promo
778,True,Branch,London,18-24,Gold,22,Poor service,Joined on promo
780,True,Comparison Site,London,55-64,Silver,24,Fees too high,Joined on promo
781,False,Online,Wales & NI,65+,Gold,6,Unhappy with perks,No promo
789,True,Online,London,65+,Silver,25,Fees too high,Joined on promo
791,False,Branch,London,18-24,Gold,11,Poor service,No promo
794,False,Outbound,South East,35-44,Classic,8,Unknown,No promo
795,False,Outbound,South East,55-64,Classic,10,Unknown,No promo
798,True,Online,South East,45-54,Classic,1,Fees too high,Joined on promo
799,True,Comparison Site,London,45-54,Classic,4,Fees too high,Joined on promo
800,True,Comparison Site,Midlands,55-64,Classic,4,Poor service,Joined on promo
804,True,Comparison Site,Wales & NI,55-64,Silver,16,Switched provider,Joined on promo
805,False,Broker/IFA,North,25-34,Silver,12,Poor service,No promo
806,False,Referral,Scotland,25-34,Gold,14,Unhappy with perks,No promo
807,False,Broker/IFA,North,25-34,Gold,5,Poor service,No promo
808,True,Outbound,South East,35-44,Classic,25,Bereavement,Joined on promo
810,True,Online,London,35-44,Silver,14,Fees too high,Joined on promo
811,False,Branch,London,45-54,Silver,6,Poor service,No promo
812,True,Comparison Site,Scotland,35-44,Classic,15,Fees too high,Joined on promo
813,True,Outbound,North,35-44,Silver,12,Poor service,Joined on promo
814,True,Online,Scotland,45-54,Classic,1,Fees too high,Joined on promo
815,False,Online,Scotland,45-54,Silver,32,Moved abroad,No promo
816,True,Comparison Site,London,35-44,Classic,18,Moved abroad,Joined on promo
817,True,Comparison Site,North,35-44,Silver,7,Switched provider,Joined on promo
820,True,Online,North,25-34,Classic,8,Switched provider,Joined on promo
821,False,Comparison Site,London,35-44,Classic,12,Switched provider,No promo
824,True,Comparison Site,Wales & NI,35-44,Silver,10,Unknown,Joined on promo
825,False,Online,Midlands,35-44,Gold,8,Unhappy with perks,No promo
827,False,Broker/IFA,Midlands,65+,Platinum,3,Poor service,No promo
837,False,Online,Midlands,55-64,Silver,32,Moved abroad,No promo
838,True,Comparison Site,Midlands,55-64,Classic,26,Fees too high,Joined on promo
840,True,Online,Midlands,25-34,Silver,18,Poor service,Joined on promo
841,False,Comparison Site,London,25-34,Classic,3,Unknown,No promo
843,False,Broker/IFA,Wales & NI,45-54,Gold,11,Unknown,No promo
845,True,Online,South East,18-24,Classic,5,Unknown,Joined on promo
849,True,Comparison Site,North,18-24,Classic,1,Unknown,Joined on promo
852,False,Outbound,Midlands,35-44,Gold,1,Poor service,No promo
857,False,Branch,South East,35-44,Gold,7,Unhappy with perks,No promo
860,True,Outbound,Scotland,18-24,Silver,33,Switched provider,Joined on promo
861,False,Online,North,45-54,Platinum,29,Poor service,No promo
862,True,Online,London,25-34,Silver,13,Fees too high,Joined on promo
865,True,Comparison Site,North,18-24,Silver,22,Fees too high,Joined on promo
869,False,Outbound,North,25-34,Silver,25,Moved abroad,No promo
870,False,Comparison Site,South East,25-34,Classic,4,Bereavement,No promo
874,True,Comparison Site,South East,35-44,Classic,1,Fees too high,Joined on promo
876,False,Broker/IFA,Scotland,25-34,Gold,26,Poor service,No promo
878,True,Branch,South East,45-54,Platinum,16,Fees too high,Joined on promo
879,True,Outbound,London,25-34,Classic,8,Fees too high,Joined on promo
880,True,Outbound,London,25-34,Classic,5,Fees too high,Joined on promo
882,False,Branch,South East,35-44,Classic,7,Moved abroad,No promo
885,True,Comparison Site,London,18-24,Silver,18,Fees too high,Joined on promo
888,False,Comparison Site,Wales & NI,55-64,Gold,20,Fees too high,No promo
889,False,Online,Wales & NI,45-54,Classic,9,Fees too high,No promo
891,False,Online,South East,35-44,Gold,3,Fees too high,No promo
894,False,Outbound,Midlands,55-64,Platinum,1,Unknown,No promo
897,True,Online,London,25-34,Classic,23,Fees too high,Joined on promo
900,False,Online,London,55-64,Classic,10,Unknown,No promo
903,False,Branch,South East,18-24,Silver,1,Unknown,No promo
904,True,Outbound,London,25-34,Silver,12,Fees too high,Joined on promo
909,False,Branch,Scotland,25-34,Platinum,30,Switched provider,No promo
910,True,Outbound,London,25-34,Gold,8,Fees too high,Joined on promo
913,False,Branch,Midlands,25-34,Classic,18,Fees too high,No promo
915,True,Branch,Wales & NI,35-44,Platinum,7,Fees too high,Joined on promo
916,False,Outbound,London,45-54,Silver,1,Unknown,No promo
926,True,Outbound,London,18-24,Silver,3,Fees too high,Joined on promo
929,False,Broker/IFA,London,65+,Silver,2,Switched provider,No promo
933,True,Comparison Site,Midlands,35-44,Silver,18,Fees too high,Joined on promo
934,False,Online,North,35-44,Silver,1,Switched provider,No promo
935,True,Online,London,25-34,Silver,3,Moved abroad,Joined on promo
937,False,Broker/IFA,South East,35-44,Silver,15,Moved abroad,No promo
938,False,Comparison Site,Wales & NI,45-54,Classic,31,Switched provider,No promo
939,True,Comparison Site,Midlands,55-64,Gold,12,Fees too high,Joined on promo
942,True,Online,London,55-64,Silver,7,Poor service,Joined on promo
947,False,Online,South East,45-54,Classic,9,Poor service,No promo
948,True,Referral,Wales & NI,25-34,Classic,16,Poor service,Joined on promo
953,False,Branch,London,25-34,Silver,13,Fees too high,No promo
954,True,Online,London,55-64,Gold,6,Fees too high,Joined on promo
959,True,Comparison Site,South East,55-64,Classic,12,Unknown,Joined on promo
966,True,Outbound,Midlands,35-44,Gold,29,Fees too high,Joined on promo
970,True,Online,Midlands,35-44,Silver,1,Fees too high,Joined on promo
972,True,Comparison Site,South East,18-24,Classic,11,Fees too high,Joined on promo
973,False,Online,Midlands,45-54,Gold,10,Unhappy with perks,No promo
975,True,Comparison Site,Wales & NI,45-54,Silver,15,Poor service,Joined on promo
978,True,Comparison Site,Midlands,45-54,Classic,12,Fees too high,Joined on promo
979,True,Comparison Site,Midlands,65+,Classic,25,Fees too high,Joined on promo
980,True,Comparison Site,Scotland,45-54,Classic,17,Fees too high,Joined on promo
982,False,Outbound,Wales & NI,35-44,Silver,16,Unknown,No promo
983,False,Branch,London,18-24,Silver,10,Poor service,No promo
984,False,Online,North,55-64,Classic,12,Unknown,No promo
986,False,Comparison Site,Scotland,18-24,Silver,2,Switched provider,No promo
988,True,Comparison Site,Midlands,45-54,Gold,4,Bereavement,Joined on promo
989,False,Referral,South East,18-24,Classic,17,Poor service,No promo
990,True,Online,Wales & NI,45-54,Classic,18,Fees too high,Joined on promo
994,True,Online,London,35-44,Classic,16,Moved abroad,Joined on promo
995,True,Online,Midlands,25-34,Classic,7,Poor service,Joined on promo
997,True,Online,London,35-44,Classic,3,Unknown,Joined on promo
1002,True,Comparison Site,Scotland,45-54,Silver,22,Fees too high,Joined on promo
1003,True,Comparison Site,London,35-44,Classic,10,Fees too high,Joined on promo
1004,False,Comparison Site,South East,25-34,Classic,6,Unknown,No promo
1005,False,Outbound,North,65+,Classic,17,Unknown,No promo
1006,False,Branch,London,25-34,Silver,8,Poor service,No promo
1012,False,Branch,South East,35-44,Gold,21,Poor service,No promo
1013,False,Online,London,25-34,Classic,4,Moved abroad,No promo
1018,False,Online,North,35-44,Classic,28,Poor service,No promo
1022,False,Branch,Midlands,55-64,Gold,8,Moved abroad,No promo
1024,False,Online,North,18-24,Silver,30,Switched provider,No promo
1025,False,Online,London,55-64,Silver,17,Fees too high,No promo
1026,True,Comparison Site,Midlands,65+,Gold,4,Poor service,Joined on promo
1028,True,Branch,Midlands,35-44,Silver,20,Fees too high,Joined on promo
1029,False,Branch,London,25-34,Classic,6,Moved abroad,No promo
